lemma,lemma_id,pos,lemma_has_jer,tokens,jer_tokens
быти,120247,V-,false,будеть|были|буди|ѥсть|бѹдеть|ѥсмь|бѹдть|былъ|буть|суть|еси|ѥси|бдуть|будуть|будть|была|есте|бꙑло|бѹдѹ|есвѣ|есемо|есьмь|е|бꙑле|бꙑхо|бꙋди|есмо|си|бѹде|е[с]и|ес|есмь|есть|бꙑ|есьмъ|бѹдеш]и|ѥсте|бѹдьше|бѹди|бꙑша|ѥсме|будешь|ѥсми|будьть|бꙑли|бꙑлъ|бꙋд[е|бꙑхъ|быти|бѹдѹщаго|бѹдетъ|сѹть|боудши|бысть|сѹт|бѹдеши|бѹдет|бы|было|бѹдѹтъ|бѹдете|бѹдѣтъ|быша|бѹт|быс|быт|был|бъ|бѹдь|бе|бѹд|бь|бѹдщемъ|бѹдѹт|естъ|б|есми|бѹдѹщемъ|бѹдешї|сущимъ|бѣ|сущая|бывъ|бѧху|бѧше|будѧше|суще|бѧста|бѧхомъ|бѣша|сутъ|сущеи|сущи|суща|быста|бывши|бывшемъ|бывшаго|будущии|будетъ|буде|сущихъ|есмы|будущая|быхомъ|бывше|сущю|буду|бѧх|бывшая|будемъ|буд|етсь|бысте|б҃ы|сущаго|будета|еста|будеши|бѣста|быв|бывшимъ|бывшю|сыи|будет|будут|бывшее|сут|сущемъ|быхом|быхъ|бых|бѣяху|ѥсмы|сущюю|бѧхъ|будете|бѧшеть|ѥста|ест|Бѣ|ѥ|бѣсте|ще|бѣхъ|бѣх|будевѣ|бывъши|Суть|беѣ|Бывъ|сущим|бѧхом|ѥсмъ|будем|есмъ|емь|Быс|бѣаше|сѹще|б]ѧше|бꙑс҃|бꙑт҃|бѧхѹть|бѣхѹ|бѣше|бѧхѹ|бꙑхомъ|бꙑста|бѧхоу|бꙑвъше|сѹт҃|бꙑти|сꙑ|соуть|соуще|быс҃|беста|беше|бъс҃|бꙑтї|бꙑвшеи|бꙑхом|бꙑвъ|бѹдѹщю|бѧш҃|сѹщю|сѹщи|бꙑхом҃|бꙑвшю|бꙑвша|бѧхуть|Выс|бывшим|бывшеѥ|бывшею|бывших|бывша|буда|сы|бы҃|будуще|будущи|ѥсьмы|будущаго|будет҃|єс҃|є|бѧша|есме|бывшюю|сущих|бывшии|єсте|бꙑсть|бꙗше|бꙗаше|сущу|бывъшю|будѣте|сѹщиихъ|бывъша|сѹщеи|бѹдѹть|бы҃с|сѹща|сѹщь|сѹщиими|бѹдꙗше|сѹщѹ|сѹщаꙗ|сѹщии|сѹщиимъ|сѹщемъ|сѹщюѹмѹ|сѹщааго|бывъшеи|бѹдевѣ|бывъше|бывъшеѥ|сѹщȣ|бѹдѣмъ|бѹдѧше|сѹщаго|бѣаша|бѧхȣть|бывъшемъ|сѹщаѧ|сȣща|бѣахѹть|сѹщимъ|сѹщема|бывъшиихъ|бѹдѹщии|бѹдѹщиї|бѧхꙋ|боудеть|боудет|єс|быстʼ|соущи|бывыи|соущимъ|бывшеє|соущїи|єсмѧ|боудꙋть|боудетъ|бывшꙋ|соущаѧ|есмѧ|сꙋщи|соуща|соущꙋ|сꙋщими|сѫщоу|соущю|боудѣте|был҃о|быхъмъ|былы|боудѣть|боудѣтѣ|боудоуть|ѥсмꙑ|бꙋдет|бывшѹ|Есмя|естя|бяше|сущии|сущими|єсмь|єсмы|бывьї|бяшетъ|Быти|Были|Бяшеть|бысь|бяхуть|быть|есмя|будущемъ|сущие|сущее|будущїи|будутъ|будеш|будешъ|быст|будущем|быстъ|бывшꙋю|ес꙽мы|бѣахꙋ|бꙋдетъ|бꙋдꙋт|был꙽|быв꙽шаго|сꙋще|сꙋть|бꙋдꙋтъ|ес꙽мь|сꙋщꙋ|сꙋщимъ|бꙋдѧше|бѣѧше|бѹдꙋщаго|сѹщꙋ|бѹдѹщаѧ|быв꙽шее|бѹдꙋщим|бѹдꙋщее|сꙋща|бѹдꙋщаѧ|сѹщих|бѹдꙋщих|бѹдем|быв꙽шѹ|бѹдꙋт|быв꙽шихъ|сѹщее|быв꙽шаѧ|сꙋщѹ|бѹдꙋщем|былѡ|бꙋде|бꙋдь|будите|будь|бꙋдѣт|бꙋдеш|Буде|сущую|боудоут|бывшагѡ|Есть|бывшоу|боудите|соущаа|Бѧхоу|соут|бꙋдемъ|соущоу|сꙋт|соущь|Бѧше|еc|боудете|Бѣсте|боудеши|бꙋдоущем|быхѡм|бꙋдеть|боуд|боуди|нѣсте|Бысть|сꙋщоу|сꙋщеи|соущим|[бѣ]|боудета|бꙋдеши,есьмь|есьмъ|бѹдьше|будьть|бъс҃|ѥсьмы|быхъмъ
къто,120250,Px,true,кто|когѡ|кого|кꙑмо|комѹ|кѣмъ|хто|комъ|кемъ|кому|ког҃|къто|комоу|комꙋ|ктѡ,
земля,120254,Nb,false,землѧмъ|землю|землѧ|земли|земле|земель|землѧхъ|земѧ|землѣ|земль|землею|зелмю|землі|землѧм|земьли|земьлю|землꙗ|землї|землю҃|земл҃і|земьлѧ|землꙗмъ|зѣмлꙗмъ|зѣмли|земля|ȥемли|ȥемлѧ|ȥемлю|Земля|землямъ|землями|земълю|зем’ли|зем’ля|землям|зем’лю|змли|ѕемлю|Землѧ,земьлѧ
въстокъ,120259,Nb,true,въстокъ|въстока|востокомъ|встокъ|въстоку|стока|въстоцѣ|встокомь|встоку|въстокомь|оустоко|востокъ|въстоцꙑ|в’стока|востока|востоку|восток,въстока
рещи,120265,V-,false,рци|река|рекѧ|ркъ|рекше|рече|речено|рк|речетъ|рещи|реч|рѣша|рекоша|рекохомъ|рекомии|рѣста|рекъ|рька|рькуще|рьцѣте|рькущи|речно|рьци|рекъши|рекши|Реч|рцѣмъ|рекомыи|рцѣте|рьч|реклъ|рекуще|речши|ркуще|рекъше|рекъша|Рече|рекохъ|реку|рек|рекшю|реком|рѣсте|рекшема|рекоста|речаше|речть|рещи-|рекущю|рекохом|рокоша|рекуть|рѣхъ|речмъ|рекох|рекла|рѣше|рцї|рекли|ркли|рч҃е|рчи|реша|рекѹще|реч҃|рекѹче|рекомѹю|рекомꙑи|рѣкшема|рекоуче|рекоуще|ркуче|Рекуще|рекуща|р]ека|рекуше|ркоша|рькѧ|рекъли|ркѧ|рекомая|рекуче|рекѹ|рекыи|рекъшааго|реченоѥ|рекъшеѥ|речете|рекъшюѹмѹ|речеть|рекъшемъ|рекшеѥ|рекъшю|рѣкъхъ|рекѹть|рекѹщю|рекѹща|рѣхом|рекꙋт|реченʼное|ркучи|рѣче|речь|рекосте|Рекъ|р’ци|рькучи|р’кучи|речем|речеве|рекутъ|реченно|рѣши|рѣх|рекошѧ|рекꙋтъ|рек꙽шого|рек꙽ше|рекшѹ|реченное|рекшемꙋ|рекша|речет|реченномѹ|рекшемѹ|рек꙽шаго|речемъ|рекшимъ|реченаѧ|реченнаѧ|реченѣм|рекшаго|реченному|рекоут|реченое|рещы|рекоу|рцемъ|ре|рцы|рѣхѡмъ|реченномꙋ|Рцы,рьч|рекъша|рѣкъхъ
вьсь,120293,Px,true,все|всего|всѣхъ|всѣмъ|всѣ|вси|вохи|вохо|всихъ|всеѧ|всѧ|всемъ|всею|всем|Всѧ|всѧмѹ|всево|всю|всѣх|всех|всеми|всемѹ|вево|всемї|всехъ|весь|весъ|всѣѧ|всѧго|всѣмѹ|всѣми|Все|вс|всеи|всѣмь|всемь|всему|всѣм|всее|въсѧ|всея|всхѣ|вс-|в[сѧ|вьсь|вьсѧ|всь|всѣю|всѣи|вьсю|всѣго|всꙗ|вьси|вьсехъ|всѣх҃|всеі|всеѣ|всѣм҃|всеꙗ|всими|въсь|вьсѣми|вѣ|вьсеи|вьсе|вьсꙗ|въсю|вьсемь|вьсѣмъ|вьсего|вьсѣхъ|вьсѣмь|вьсѣ|вьсею|вьсеꙗ|вхѹ|все и|въсемѹ|всемꙋ|всѣмʼ|всѣхʼ|вохъ|всѣмоу|всемоу|Всемоу|всехо|вес|вся|всеа|всей|вса|Всю|Всѣмъ|в꙽си|[всеѧ,
съсѣдати,120304,V-,true,съсѣдѧть|ссѣдавше|съседавъше,съсѣдѧть
съмѣсити,120321,V-,true,съмѣси|смѣшено|смѣси,съмѣси
останъкъ,120324,Nb,true,ѡстанокъ|ѡстанки|останкѹ|останъке|останъкъ|останокъ,
приити,120350,V-,false,придеть|пришедъ|приде|пришьла|придьши|пришли|прїидетъ|прїидѹт|прїити|пришед|придет|прїидѹтъ|пришла|пришедше|прити|пришедшю|придоша|пришедъша|придоста|придѣта|пришедъше|пришедъшема|Приде|пришедъшемъ|пришедшимъ|придуть|придут|придохомъ|придосте|приду|пришедъшимъ|придите|Придоша|пришедша|пришелъ|прішелъ|придохъ|прешедъше|прише|придѣте|пришедъшю|придохо|прідеть|пріде|прїде|пришедшема|Пришедъ|прїшедшю|приди|придемъ|придущемь|придѧху|придох|пришедшими|прідоша|придохом|придеши|пришедшее|пришьдъ|пришьдъше|пришьдъшмъ|придете|пришьлъ|пришло|прид|Пришелъ|пришедшаго|пришедшим|пришедши|пришдъшима|приидуть|Приидоша|приити|приидоша|прииде|приидѹть|пришь|прииди|пришьдъши|пришедъши|приидохъ|приидѹщии|пришьдъша|приидеть|пришьдъшю|пришьдъшемъ|приидѧше|пришьдъшеѥ|приидохомъ|пришьдъшема|прїдохъ|пришьли|пришедʼша|прїидохъ|прїиде|прїидꙋть|прїидеть|прїидѣте|прїидоша|пришедʼ|пришедʼшаго|прїидем|придѣть|придоуть|пришлї|пришел|приидох꙽|приидох|придѣ|Прїидоша|прїидосте|прїидѹ|прїидох|прїйде|прїиду|прїидоста|пришедыи|прїидохом|пришед꙽ше|пришол|прїидеши,придьши
въсхотѣти,120359,V-,true,въсхотѣ|всхотѣша|всхотѣ|въсхотѣша|въсхотѧть|всхощеть|всхотѧть|въсхочеть|въсхотѣхомъ|въсхотѣти|въсʼхотѣ|въсхощеши|въсхочетѣ|въсхочете|въсхъчеть|оусхочеть|восхощет|восхотѣлъ|восхотѣ|восхотѣв꙽ше|въсхотѧще|въсхощеть,въсхотѣ|въсхотѣша|въсхотѧть|въсхочеть|въсхотѣхомъ|въсʼхотѣ|въсхощеши|въсхочетѣ|въсхочете|въсхъчеть|въсхотѧще|въсхощеть
въстати,120365,V-,true,восташа|вставъ|воставъ|встати|въставъ|въста|въставшемь|въстати|въстани|всташа|вьставъ|въсташа|вставше|Въсташа|встаста|всталъ|встанѣте|встанеть|вста|встанущю|въставъши|въстанꙗше|въставъша|въстаеть|въставшꙋ|въстала|воста|востаху|Въстала|въсталъ|воставше|востани|востати|встат|востала|возставше|встать|встанет|возстав|встала|возставъ|встали|въстаноут,въста|въсташа|Въсташа|въстанꙗше|въстаеть|въстаноут
вънити,120369,V-,true,вънидьте|внидемъ|внидохомъ|внити|воити|внидеть|въшедъ|вшедше|вниде|внидоша|вънидоша|въшедшю|вшедъ|вниди|внидоста|внидохом|въниде|вънидоста|вънид|въшьдъ|въиде|внидѧшеть|Вниде|внида|вшедшим|вънидеть|въниди|въшьдъши|вънити|въшьдъше|въшьдъшема|вшедʼшимъ|внидеши|вошьли|внидох|вшол|вошли|внидем|вошел|воиду|вошелъ|вошед|вшед|въшед|внидѹт|воитит|вашѡлъ|внидет|внидоут,вънидьте|вънидоша|въниде|вънидоста|вънид|въиде|вънидеть
дьнь,120391,Nb,true,дн҃ь|дн҃и|дн҃е|дни|дн҃еи|дн҃їи|дн҃емъ|д҃ни|д҃не|дне|днемъ|дн҃хъ|днии|д҃нь|д҃нии|д҃нье|д҃нехъ|дн҃ии|дн҃|дн҃ьми|дн҃емь|дни҃|дн҃и:|дн҃евъ|дн҃ьѥ|дн҃ехъ|день|дн҃і|дн҃иі|днь|дн҃ъ|дн҃ьмъ|дн҃иѥ|дьнь|д҃ньхъ|дн҃ию|дьни|дн҃ьхъ|дьньхъ|дьне|дн҃ью|дьнии|д҃немʼ|д҃нїи|д|д҃н҃и|д҃неи|днеи|дн҃ем|дн҃я|днях|днех|дном|дн҃ие|днем|дневи|д҃нїе|дн҃їе|дн҃ех|дн҃іи|дн҃еви|дн҃ех꙽|д҃нех|д҃нем|де|дня,дьнии
тъгда,120398,Df,true,тогда|тъгда|Тъгда|т[ъ]гда|тъгъда|Тогда,
възлюбити,120404,V-,true,возлюбиши|возлюби|возлюбленномѹ|возлюбленное|възлюби|возлюбившю|възлюбленыи|възлюбивъ|възлюбленая|възлюбиша|взлюбилъ|възлюбленымь|възлюбилъ|възлюблении|възлюбити|возлюбил|воȥлюби|возлюбила|возлюбити|возлюбї|возлюбиста|возлюбих|возлюблена|возлюблено|возлюблен꙽не|возлюбленне|возлюбиша|возлюбив꙽шемꙋ|вълюбленымъ|възлюбихъ|възлюблена|возлюблю|възлюбиши|възлюбили|возлюбивше,възлюби|възлюбиша|възлюбихъ|възлюбиши
тъкъмо,120413,Df,true,,
наслѣдити,120415,V-,false,наследѧт|насьледит|наслѣдите|наслѣдитъ|наследѧтъ|наслѣдиши|наслѣдиша|наслѣдѧть|наслѣдѧт|наслѣдити|наслѣдит|наслѣдить,насьледит
насилие,120419,Nb,false,насїлиѧ|насїлие|насилїемъ|насилье|насильемь|насильѥ|насильꙗ|насилиꙗ|насилиѥ|насиліе|насилия|насилїа,насильꙗ
жена,120420,Nb,false,женою|женѣ|жену|жена|жены|женѹ|жене|ЖЕНѢ|женамъ|женанами|женами|женъ|Женамъ|женъ.|женах|жнеъ|женома|женам|женꙑ|женамі|жено|женꙋ|жен|женоу|женъю|жонъ|жон|Жены|женама,женъ.
притъча,120424,Nb,true,притча|прїтчи|притчи|притчею|притъча|притъчами|притъчи|притчами,притъчи
чьто,120440,Pi,true,цьто|чемѹ|цето|цьтъ|чемъ|чево|что|чего|што|чимъ|чему|чьсо|чимь|чьто|чѣм|Что|Чему|чем|чемꙋ|ч҃его,
отьць,120448,Nb,true,оц҃ю|ѡци|ѡтцѧ|ѡц҃ѧ|отець|отьць|о[ть]чеви|оц҃а|ѿц҃а|ѿц҃ѣхъ|ѿц҃овъ|ѿц҃евъ|ѿц҃емъ|ѿц҃ѹ|ѿц҃ем|ѿц҃ъ|ѿч҃е|ѡтецъ|ѿць|ѡтьци|ѡтець|ѡ҃ць|ѿца|ѡц҃ь|ѡ҃ца|ѡц҃ю|ѡці|ѡ҃ци|ѡче|ѡ҃цемъ|ѡц҃мь|ѡ҃цю|ѡц҃а|ѡц҃и|ѡч҃е|ѡц҃емь|ѡцтю|ѿц҃емь|ѡц҃емъ|ѡц҃ихъ|оч҃е|оц҃ѧ|оц҃ь|оч҃ѧ|оц҃мь|оч҃и|оцв҃и|оч҃ь|оц҃и|оць҃|оца҃|ѡ҃ц҃ь|отьцю|отьца|отьче|оц҃емь|о҃че|оц҃ѹ|оц҃ьмь|оцѧ҃|оц҃емъ|о҃ца|ѿц҃оу|ѡчи|отца|отец|отцем|отцов|отцы|ѡч҃ѧ|отецъ|о҃цъ|ѿцъ|ѿцем|ѡц҃у|ѿц҃у|ѿче|ѿц҃ы|ѿц҃ь|ѿцемъ|ѿцу|ѡтц҃а|ѡтч҃е|ѡтц҃ъ|ѿц҃ꙋ|ѿцы|ѿч҃|Ѿцо҃у|Ѿц҃а|ѿц҃и|Ѿч҃е|Ѿц҃емъ,оць҃|отьца
къто,120450,Pi,true,когѡ|кого|кто|хто|комѹ|ком|ково|кому|къто|комоу|ктѡ|Кто,
съвѣщати,120451,V-,true,съвѣщаше|съвѣщаша|свѣщахомъ|свѣщаша|съвѣщавъша|съвѣща|съвеща|свѣщах꙽|совѣщаша|совѣщаста,съвѣщаше|съвѣщаша|съвѣща|съвеща
възложити,120455,V-,true,възложити|възложить|възложилъ|возложило|възложахуть|възложи|възложиша|возложиша|възложьше|възложивше|взложи|взложьше|възложивѣ|взложиша|взложити|возложьше|възложившю|възложивъ|възложивъше|възложать|възложь|възложьшю|възложимъ|возложилъ|возложа|взложилъ|возложитъ|возложиста|возложи|возложихом|возлѡживъ|возⸯложиша,възложить|възложахуть|възложи|възложиша|възложивѣ|възложать|възложимъ
безаконьникъ,120458,Nb,true,безаконьникомъ|безаконьници|безаконьникы|безⸯзакѡнникъ,
отьчьствие,120459,Nb,true,ѡтечьствие,
коньць,120460,Nb,true,кѡнцѧ|концы|коньца|конець|конца|конци|концѧ|коньци|коньць|коньчь|концемь|конц|коньцьмь|концов|Конец|конец|конецъ|кѡнци|концемъ|концѣ,коньца
убити,120463,V-,false,ѹбиѥть|ѹбилъ|ѹбиють|ѹбити|ѹбиѥнъ|оубити|оубиша|оубьени|оубьеть|оубьенаго|оубьють|оубьенъ|оубьемъ|оубихомъ|убьенъ|оубисте|оубили|оубьеныя|уби|оуби|оубью|оубивъ|оубиите|оубивше|оубихъ|оубьену|ѡбити|оубьѥнъ|ѹбии|оубилъ|убьѥнъ|ѹбьѥна|ѹбиша|ѹбьѥнъ|ѹби|ꙋбиша|ꙋбити|ѹбивъ|оубьѥна|ѹбиенъ|ѹбьенъ|Ѹбиша|ѹбиста|ꙋби|ѹбитъ|ѹбиите|ѹбили|ꙋбили|ꙋбила|ꙋбилъ|Оубьѥн|ѹбьѥн|оубиеть|оубившаг|оубиенъ|убиите|убиению|убиѥнъ|убити|убиѥну|оубьеныхъ|оубьенʼныхъ|оубьенных|оубьвъ|оубилѣ|оубиють|оубитъ|убили|убилъ|убивъ|ѹбил|ѹбїенъ|убит|убивше,оубьеть|оубьють|оубьемъ|оубью
пьсъ,120472,Nb,true,пса|пси|песъ|псомъ|пьсъ|псы|псов|пес|ѱом|ѱи|ѱовъ,пьсъ
владыка,120486,Nb,false,владꙑчѣ|влд҃къ|вл҃дко|въладыкы|влдцѣ|влцдѣ|влкдо|влкду|влкда|влдка|влд҃кꙑ|влдк҃ѹ|владꙑцѣ|влд҃ка|влдк҃а|влд҃кѹ|влд҃цѣ|владꙑкѹ|вл҃дка|влд҃ку|влдкѹ|влдкꙑ|влдку|влдко|владыка|владыко|вл҃дцѣ|вл҃дꙑко|вл҃ко|вл҃дкы|влд҃ко|влд҃кы|владыкы|вл҃дыкы|вл҃дкѹ|вл҃адчѣ|влдкы|влдке|влдки|влдкою|влдце,въладыкы
праздьникъ,120490,Nb,true,празникомъ|празники|празникъ|прдзники|праздникомъ|празниковъ|празника|праздникѹ|прзднки|прзд҃нкъ|праздникъ|праздник|празднику|празднїкы|праздникы|праздьникъ|праз҃|празд|праздникꙑ|праздни|праздницѣхъ|празьдникы|праздьникы|праздьникѹ|праздьни къ|праздниковъ|праз꙽дникъ|празником,
имати,120508,V-,false,имати|ꙇмати|ѥмлеть|ималъ|емлю|ѥмлю|імати|емли|емлет|маху|имаху|имаша|емлѧ|емлеть|имашеть|имаше|имаши|емлють|емлюче|емлющю|ѥмлющю|емлюще|ѥмлете|ѥмлите|имаѥмъ|емьлюще|ѥмлѧ|емлють млють|емлют|имали|ємлюще|имате|ѥмльть|имають|имают|емлетъ|имашѣ|емляху,емлють млють|ѥмльть
повелѣние,120510,Nb,false,повелѣнию|повеленїю|повевелѣнья|повелѣньемь|повелѣнью|повелѣнья|повелѣньем|повелениѥмь|повелѣниꙗ|повелѣниѥмь|повелѣниѥ|повѣлению|повелѣнїа|повелѣнїи|повѣлѣниемъ|повелѣнием|повелѣнїѧ|повелѣнїю|повелѣнїемъ|повелѣнїем,повевелѣнья|повелѣнья
врѣменьныи,120594,A-,true,времененъ|временныѧ|временнаго|времѧньных|временных,
отъкуду,120595,Du,true,ѿкуду|ѿкоудоу|отъкѹдѹ|ѿкѹдѹ|ѿкѹдȣ|ѿкꙋдꙋ|ѿкѹдꙋ,
русьскыи,120596,A-,true,русьскаꙗ|руская|руское|русьскии|руска|рускаго|руским|руския|рустии|рускии|рускому|руску|рускіх|рускимъ|руских|рускиѣ|рустие|рускіѣ|рустѣмь|рускую|русьстѣи|русьскую|русьскых|русьстии|русьскыя|русьскым|русьская|русьскѣи|русьскыи|русьску|русьстѣ|русскѣи|русьскыѣ|русьскымь|русьскы|рускыѣ|русьскиѣ|русскую|русскыѣ|русскыи|рускым|русскиѣ|русскых|русскими|русскии|рꙋсьскѹю|рѹсьскꙑꙗ|сѹрьскꙑи|рѹс҃скаꙗ|рѹсьскаꙗ|рѹс҃ска|рѹс҃скꙑꙗ|рѹсьстѣи|рѹсьскꙑи|рѹсьстѣмь|рѹсьскѹ|роусьскаꙗ|рѹс҃скои|рѹсьскои|рѹсьскѹю|роускыхъ|роусьскои|роусьскымъ|роусьскыхъ|роус҃скоую|роус҃стии|роус҃скым|роус҃скыхъ|рѹс҃стѣи|рѹсьскоі|рѹс҃скѹю|рѹсскꙑхъ|русску|русстѣи|русскымъ|русстии|рускыи|рускіе|рускымъ|рустѣи|рускыя|рускою|рѹсьскѣи|рѹсьскѣ|рѹсьскую|рѹсьскꙑихъ|рѹськѹ|роускои|роускии|роускимь|рѹскые|рѹское|рѹсьстїи|рѹськыи|рѹсскомѹ|рус҃скимъ|Руськую|Руская|Рускыя|Руской|Рускую|рускія|Рускыи|Русскую|рускихъ|рустїи|русько|рускои|рускꙑя|руськую|рускиа|рускїа|русскихъ|русские|русских|рꙋстѣи|рѹсьстей|роусскыа|роусскыи|роусскаа|рꙋсски|рꙋсскаа|Роусскїа|роусскаг|Роускаа|рꙋсⸯскїи|рꙋсⸯскꙋю|рꙋсⸯстїи|рꙋсьстѣй,
начати,120598,V-,false,начнеть|начнуть|начнеши|начни|начнетъ|начати|начнет|начато|нача|начнемъ|наченшю|начаста|начаша|наченъ|Нача|начша|начаху|нач|начне|началъ|начах|начѧ|начѧша|нацѧша|начатъ|начнете|начнем|начали|начахъ|начать|начьни|начаты|начьнѹ|начьнъшю|начьнѹт|начаше|начахомъ|начат|начяти|Начати|начашя|начяша|начала|начясте|начал|начнꙋ|нач꙽нем|начашѧ|начен꙽шѹ|начахѹ|начатомъ|начнѣмъ|Начаты,начьнѹ|начьнѹт
пьрвѣе,120599,Df,true,пѣрьвїе|первѣе|перьвѣе|первѣѥ|пѣрвѣе|пьрьвѣѥ|пьрвѣѥ|первие|первїе,
къняжити,120600,V-,true,кнѧжит|кнѧжаше|кнѧжи|кнѧжитъ|кнѧжаста|кнѧжита|кнѧжа|кнѧжити|кнѧживъ|кнѧжащю|кнѧжѧше|кнѧжилъ|кнѧжать|кнѧжат,
пьрвыи,120603,Mo,true,первии|первоѣ|перваго|первому|первомꙋ|первыѧ|первого|первои|первие|первое|перьвии|первыя|первых|первыи|первѣмь|первою|превое|первомь|перво|а҃|первоѥ|а҃·ю|первым|а҃·му|пьрваго|пьрвꙑи|а.҃го|пѣрвому|прьвыхъ|пьрвааго|прьвыи|пьрвыꙗ|прьвыꙗ|прьвыихъ|а҃.вѹю|пьрьвое|пьрьвѣи|пьрвыхъ|первїе|первомъ|перʼвые|прьвое|пръвыи|первую|первой|първыхъ|пръвую|пръвыхъ|пер’вꙑх|первꙑи|первые|первом|первыхъ|перваѧ|первѹю|А г|первам|перваи|первомоу|первоую,
трисъта,120615,Ma,true,т҃|т|т҃҃|иі҃|триста|300,
изгънати,120626,V-,true,Изъгнаша|иженуть|игзнъа|изгнанъ|изгнаша|изгнали|изгна|ижденуть|ꙇзгнал|ꙇзгнаша|ꙇзгнали|изъжденѹ|жьжденѹ,Изъгнаша|игзнъа|изъжденѹ|жьжденѹ
шестьдесятъ,120634,Ma,true,ѯ҃|шестьдесѧт|ѯ|шедесѧть|60|ѯ͠|шестьдесят|҂ѯ,
почати,120637,V-,false,почалъ|почнеть|поцьньши|поцнешь|початое|початаѧ|початые|почаша|почнем|почали|По|Поча|почаеть|почнешь|поча|почнет|почаста|почахъ|Почата|почах|почаяхъ|почѧ|почѧшѧ|почѧста|поцѧ|почахомъ|поченъ|почну|почьнеть|почал|почѧлъ|Почнемъ|почнутъ|почат,поцьньши|почьнеть
правьда,120639,Nb,true,правда|правду|правдѹ|правде|правдою|правдѣ|правды|пр҃вда|правьдѹ|правьдою|правд|правдꙑ|правъду|правьды|правьду|правдоу|правьдоу|правдꙋ,правьды
кънязь,120644,Nb,true,кнѧзю|кнѧзь|кнѧзѧ|кнѧземь|кънѧзѹ|къ[н]ѧз[ь|кнѧѕѧ|кнѧземъ|кн҃ѕю|кн҃ѕѧ|кнѧже|кнѧзи|кнѧзѣ|Кнѧзю|кнѧзехъ|кнѧзем|кнѧзии|кнѧ|кн҃зѧ|кн҃зѣмь|кн҃зю|кн҃зь|кн҃змь|кнз҃ь|кнз҃и|кнз҃ѧ|кнѧж҃|кнз҃емь|кн҃зи|кн҃зьма|кнз҃ю|кнзь|кънѧзь|кн҃зьмь|кн҃з҃ѧ|кнз҃мь|кн҃земь|кънѧзѧ|кнѧзьмь|кн҃зѣхъ|кънѧже|кн҃же|кн҃земъ|кн҃зихъ|кн҃зема|кнз҃ии|к[н҃зь|кнз҃ии:|Кнз҃ь|кнзи|кн҃зѣ|кнѧз|кнѧзех|кнѧзема|Кнѧзь|кнѧзем҃|кнꙗзю|кнꙗзꙗ|кънꙗземъ|кнꙗзи|кнꙗзѧ|кнꙗзь|кнꙗзьмь|кънѧзю|кънѧзьхъ|кнѧзихъ|кнѧзꙗ|кнѧзъ|кн҃зеи|к҃нзь|кънѧзоу|кнѧ҃зѧ|кн҃ѧзѧ|кн҃ѧзю|кн҃ѧзь|кн҃ѧзеи|князь|князем|князя|князю|князи|князей|князьми|Князь|князе|кн҃жѧ|кн҃змъ|кнѧзми|кнѧз҃|княземъ|княже|Княже|Княземъ|кнзю|кнзя|кнземъ|кнзеи|кнзем|княз|кнз’|кнзе|князеи|кнзьми|кнзмъ|кнѕи|кн҃зя|кнѕ҃е|кн҃ѕемъ|кн҃ѕем|кнѧѕь|кн҃ѕе|кн҃ѕь|кнѧѕех|кнѕь|к|кнѕю|﻿Кнзь|кн҃ѕи|кн҃ѕехъ|кнѧѕи|кнѕѧ|Кн҃ѕю,кънѧзѧ
аньгляне,120654,Nb,true,анъглѧне,
обильныи,120665,A-,true,ѡбилна|ѡбилно|обилнїи,
братия,120670,Nb,false,братиꙗ|братьꙗ|бъратьи|братьи|братье|брат[ь]е|братїю|братью|братїи|братию|братьѣ|братья|братя|братю|братьѧ|братѣ|братею|брати|братьею|бртая|брат҃ꙗ|братьѥю|брат҃ѧ|брат҃ею|брт҃ью|брат҃и|брат҃ю|брат҃ѥ|брат҃ѥю|братьѥ|брат҃і|братꙗ|братѥю|брат҃я|братьєю|братиѥ|братие|братии|братиѥю|братиѣ|братиею|брат|братїамъ|братїа|братїе|братѥ|братеи|братіе|Братіе|братьях|брате|братѧ|братїѧ|братїѧм|братїѧми|братїѧмъ|братиѧ|братїею|братїами,братьѣ|братья|братьи|братьѥ
прозъвати,120681,V-,true,прозваша|прозва|презва|прозвшаа|прозовет|прозооуть,
новъгородьць,120683,Nb,true,нооугородьци|новугородьци|новгородцем|новгородци|новгородцемъ|новгородець|новгородцѣ|новгородьци|новгородцю|новгорьцю|новъгородци|новгорци|новъгородьчемъ|новъгородьць|новгородць|новъгородьце|новгородьце|новгородьць|новъгородици|новъгородьци|новг[оро]дце|новгородьции|Новгородьци|новгородьцемъ|новгородьцихъ|новгородьцї|новгородьче|новгородцї|новгородце|новгородьцевъ|новгородьчемъ|новородьць|новгородцевъ|новгородці|Новгородци|новгороцмъ|новгородцьмъ|наугородцом|новьгородьць|новгородцꙑ,новъгородьць|новгородьць|новгородьцевъ|новородьць|новьгородьць
варяжьскыи,120684,A-,true,варѧжьскому|варѧжьское|варѧжьска|варѧжьскым|варѧзьскаꙗ|варѧзьскои|варѧзьскꙑи|варѧжьскоі|варѧжьскаꙗ,
умьрѣти,120686,V-,true,,
